	sex	Age	major group3	year	gpax	Region	previous-edu	uni-activity	influ-major	influ-people	influ-wellknown	influ-quality	influ-careermarket	TYPE
0	1	3	1	1	1	3	2	1	2	1	2	2	2	5
1	2	3	6	1	4	2	3	1	0	2	2	2	0	0
2	1	3	2	3	1	2	1	1	2	2	0	2	2	4
3	2	1	3	0	2	2	3	1	0	0	0	2	2	2
4	2	0	5	0	1	2	5	1	0	2	0	0	2	4
5	2	3	3	3	4	2	2	0	2	0	2	1	2	10
6	1	3	6	3	2	0	2	1	0	2	2	2	0	4
7	2	1	3	0	1	2	2	1	0	2	0	0	0	6
8	1	3	7	4	2	2	1	1	0	1	2	0	2	12
9	2	3	1	4	2	2	5	1	0	2	2	0	0	12
10	1	2	3	0	2	2	2	1	0	1	2	2	2	7
11	1	3	3	1	4	2	5	1	2	0	2	2	1	5
12	1	1	1	0	1	3	2	1	2	0	0	2	2	11
13	2	3	3	2	1	0	2	1	0	0	0	0	0	4
14	2	2	1	0	4	3	3	1	2	2	2	2	2	7
15	2	1	5	0	4	3	2	1	0	2	0	2	2	15
16	1	3	1	3	2	2	5	1	0	1	2	0	0	4
17	1	3	2	4	2	2	5	1	0	0	2	2	0	5
18	1	3	1	3	1	2	2	1	2	2	0	0	2	1
19	1	3	4	3	1	2	5	0	2	2	2	2	2	1
20	1	3	4	3	1	2	5	0	2	2	2	2	2	1
21	1	3	2	3	2	2	5	0	2	2	2	0	2	13
22	2	0	6	4	1	2	3	1	0	2	2	0	2	4
23	2	3	3	3	1	2	3	1	0	2	2	0	2	6
24	1	3	3	1	4	2	5	1	0	2	2	0	2	4
25	2	3	6	4	4	2	5	1	0	2	2	0	2	4
26	1	0	6	2	1	2	2	1	0	2	2	0	2	6
27	2	3	6	3	4	0	5	1	0	1	0	2	2	2
28	1	3	6	3	1	1	2	1	0	0	0	2	0	6
29	1	3	1	4	4	4	3	1	0	2	2	0	0	6
30	2	0	1	4	4	2	3	1	0	0	0	0	2	6
31	2	3	1	1	4	2	5	1	0	0	2	2	0	6
32	1	0	5	2	1	2	5	1	0	0	0	0	0	6
33	2	3	1	4	1	0	3	1	0	0	2	2	0	6
