	Gender	Age	year	gpax	Region	previous-edu	uni-activity	influ-major	influ-people	influ-wellknown	influ-quality	influ-careermarket	E	I	S	N	T	F	J	P
0	f	>23	first	B	NorthEast	highschool-mathsci	yes	mid	low	mid	mid	mid	High	Low	Mid	Mid	Mid	Mid	Low	High
1	m	>23	first	C+	North	highvocational	yes	high	mid	mid	mid	high	High	Low	Mid	Mid	Mid	Mid	High	Low
2	f	>23	second	B	North	highschool-art	yes	mid	mid	high	mid	mid	High	Low	High	Low	Mid	Mid	Mid	Mid
3	m	29-34	completed	B+	North	highvocational	yes	high	high	high	mid	mid	Mid	Mid	Mid	Mid	High	Low	Mid	Mid
4	m	23-28	completed	B	North	vocational	yes	high	mid	high	high	mid	High	Low	Mid	Mid	Mid	Mid	Mid	Mid
5	m	>23	second	C+	North	highschool-mathsci	no	mid	high	mid	low	mid	Mid	Mid	Mid	Mid	High	Low	Mid	Mid
6	f	>23	second	B+	Central	highschool-mathsci	yes	high	mid	mid	mid	high	High	Low	Mid	Mid	Mid	Mid	High	Low
7	m	29-34	completed	B	North	highschool-mathsci	yes	high	mid	high	high	high	Mid	Mid	Mid	Mid	Mid	Mid	High	Low
8	f	>23	third	B+	North	highschool-art	yes	high	low	mid	high	mid	Low	High	High	Low	Mid	Mid	High	Low
9	m	>23	third	B+	North	vocational	yes	high	mid	mid	high	high	Low	High	Mid	Mid	Mid	Mid	High	Low
10	f	35+	completed	B+	North	highschool-mathsci	yes	high	low	mid	mid	mid	High	Low	Mid	Mid	High	Low	Low	High
11	f	>23	first	C+	North	vocational	yes	mid	high	mid	mid	low	Mid	Mid	High	Low	Mid	Mid	Mid	Mid
12	f	29-34	completed	B	NorthEast	highschool-mathsci	yes	mid	high	high	mid	mid	Mid	Mid	Mid	Mid	Mid	Mid	Low	High
13	m	>23	forth	B	Central	highschool-mathsci	yes	high	high	high	high	high	High	Low	Mid	Mid	Mid	Mid	High	Low
14	m	35+	completed	C+	NorthEast	highvocational	yes	mid	mid	mid	mid	mid	High	Low	Mid	Mid	Mid	Mid	Mid	Mid
15	m	29-34	completed	C+	NorthEast	highschool-mathsci	yes	high	mid	high	mid	mid	Mid	Mid	Mid	Mid	High	Low	Mid	Mid
16	f	>23	second	B+	North	vocational	yes	high	low	mid	high	high	High	Low	High	Low	Mid	Mid	High	Low
17	f	>23	third	B+	North	vocational	yes	high	high	mid	mid	high	Mid	Mid	Mid	Mid	Mid	Mid	Mid	Mid
18	f	>23	second	B	North	highschool-mathsci	yes	mid	mid	high	high	mid	High	Low	Mid	Mid	Low	High	Low	High
19	f	>23	second	B	North	vocational	no	mid	mid	mid	mid	mid	High	Low	Low	High	Low	High	Low	High
20	f	>23	second	B	North	vocational	no	mid	mid	mid	mid	mid	High	Low	Low	High	Low	High	Low	High
21	f	>23	second	B+	North	vocational	no	mid	mid	mid	high	mid	Mid	Mid	High	Low	Mid	Mid	Mid	Mid
22	m	23-28	third	B	North	highvocational	yes	high	mid	mid	high	mid	High	Low	Mid	Mid	Mid	Mid	High	Low
23	m	>23	second	B	North	highvocational	yes	high	mid	mid	high	mid	High	Low	Mid	Mid	High	Low	High	Low
24	f	>23	first	C+	North	vocational	yes	high	mid	mid	high	mid	High	Low	High	Low	Mid	Mid	High	Low
25	m	>23	third	C+	North	vocational	yes	high	mid	mid	high	mid	High	Low	High	Low	Mid	Mid	High	Low
26	f	23-28	forth	B	North	highschool-mathsci	yes	high	mid	mid	high	mid	High	Low	Mid	Mid	Mid	Mid	High	Low
27	m	>23	second	C+	Central	vocational	yes	high	low	high	mid	mid	Mid	Mid	Mid	Mid	Mid	Mid	High	Low
28	f	>23	second	B	East	highschool-mathsci	yes	high	high	high	mid	high	Mid	Mid	Mid	Mid	High	Low	High	Low
29	f	>23	third	C+	South	highvocational	yes	high	mid	mid	high	high	Mid	Mid	High	Low	High	Low	High	Low
30	m	23-28	third	C+	North	highvocational	yes	high	high	high	high	mid	High	Low	Mid	Mid	High	Low	High	Low
31	m	>23	first	C+	North	vocational	yes	high	high	mid	mid	high	High	Low	High	Low	Mid	Mid	Mid	Mid
32	f	23-28	forth	B	North	vocational	yes	high	high	high	high	high	High	Low	High	Low	High	Low	Mid	Mid
33	m	>23	third	B	Central	highvocational	yes	high	high	mid	mid	high	Mid	Mid	Mid	Mid	Mid	Mid	High	Low
34	f	>23	third	B	Central	highvocational	yes	high	high	mid	mid	high	High	Low	High	Low	High	Low	High	Low
35	f	>23	second	B	Central	highvocational	yes	high	high	high	mid	mid	Mid	Mid	High	Low	High	Low	Mid	Mid
36	m	29-34	completed	B+	East	highschool-art	yes	high	mid	mid	high	mid	High	Low	High	Low	Mid	Mid	High	Low
37	f	23-28	forth	B	North	highvocational	yes	high	mid	high	high	high	High	Low	Mid	Mid	Mid	Mid	High	Low
38	f	23-28	forth	B+	North	highschool-mathsci	yes	high	low	high	high	high	Low	High	Low	High	Mid	Mid	High	Low
39	m	>23	second	C+	West	vocational	yes	high	high	high	high	mid	High	Low	Mid	Mid	Mid	Mid	Mid	Mid
40	f	35+	completed	B+	North	highschool-mathsci	yes	high	mid	high	high	high	High	Low	High	Low	Mid	Mid	High	Low
41	m	>23	third	B	Central	vocational	yes	high	high	high	high	high	High	Low	High	Low	High	Low	High	Low
42	m	>23	third	B	NorthEast	vocational	yes	high	mid	high	high	high	High	Low	High	Low	High	Low	Mid	Mid
43	m	23-28	forth	B+	NorthEast	highvocational	yes	high	mid	high	high	mid	High	Low	High	Low	Mid	Mid	High	Low
44	f	>23	first	B	Central	highschool-mathsci	yes	mid	mid	mid	mid	mid	High	Low	Mid	Mid	Mid	Mid	Low	High
45	m	>23	first	C+	North	vocational	yes	mid	mid	mid	mid	mid	High	Low	Low	High	Mid	Mid	Mid	Mid
46	m	>23	forth	B	North	highschool-mathsci	yes	high	high	mid	high	high	High	Low	High	Low	Low	High	Mid	Mid
47	m	>23	second	B	North	highschool-mathsci	yes	high	high	high	high	high	High	Low	Mid	Mid	Mid	Mid	Mid	Mid
48	m	>23	second	C+	Central	highschool-mathsci	yes	high	high	mid	high	high	High	Low	Mid	Mid	Mid	Mid	High	Low
49	m	>23	second	B	Central	highschool-mathsci	yes	high	mid	high	mid	high	High	Low	Mid	Mid	High	Low	High	Low
50	m	>23	second	C+	South	highschool-mathsci	yes	high	mid	mid	high	high	High	Low	Mid	Mid	High	Low	Low	High
51	m	>23	second	C+	North	highschool-mathsci	yes	high	high	mid	mid	high	High	Low	Mid	Mid	Mid	Mid	Mid	Mid
52	f	>23	second	C	North	highschool-mathsci	no	high	mid	mid	high	high	Mid	Mid	Mid	Mid	Mid	Mid	Mid	Mid
53	f	23-28	third	B+	North	vocational	yes	high	mid	high	mid	high	High	Low	High	Low	High	Low	High	Low
54	m	29-34	completed	B	North	highvocational	yes	high	low	high	mid	high	High	Low	High	Low	High	Low	Mid	Mid
55	m	23-28	completed	B+	Central	highvocational	yes	high	high	mid	high	mid	High	Low	Mid	Mid	Low	High	High	Low
56	m	29-34	completed	B+	NorthEast	highschool-mathsci	yes	high	mid	high	high	mid	High	Low	Low	High	Low	High	High	Low
57	f	>23	second	B	Central	vocational	yes	high	low	mid	mid	mid	Low	High	Low	High	Mid	Mid	High	Low
58	f	>23	first	B	Central	highschool-art	yes	high	high	high	high	mid	High	Low	High	Low	Mid	Mid	High	Low
59	f	35+	completed	B	NorthEast	vocational	yes	high	mid	high	high	high	High	Low	High	Low	High	Low	High	Low
60	m	>23	second	B	North	vocational	yes	high	mid	high	high	high	Low	High	Low	High	Mid	Mid	High	Low
61	m	>23	third	B	Central	vocational	yes	high	low	high	high	high	High	Low	High	Low	High	Low	High	Low
62	m	29-34	completed	B	North	highschool-mathsci	yes	high	mid	high	high	mid	High	Low	High	Low	High	Low	High	Low
63	m	>23	first	C+	Central	highvocational	yes	mid	high	mid	high	mid	High	Low	Mid	Mid	High	Low	Mid	Mid
64	m	>23	forth	B	Central	highschool-mathsci	yes	high	mid	mid	high	high	High	Low	Mid	Mid	High	Low	High	Low
65	f	>23	third	B	North	highschool-mathsci	yes	mid	high	mid	mid	high	Mid	Mid	Mid	Mid	Low	High	Low	High
66	m	>23	first	B	Central	highschool-art	no	mid	mid	low	mid	high	Mid	Mid	High	Low	Low	High	Mid	Mid
67	m	23-28	completed	B	East	highschool-art	no	high	mid	mid	low	mid	Low	High	Mid	Mid	Mid	Mid	Mid	Mid
68	LGBT	>23	third	B+	North	highschool-mathsci	yes	high	high	mid	mid	high	Mid	Mid	Mid	Mid	High	Low	Mid	Mid
69	m	>23	second	C+	North	vocational	yes	high	high	mid	mid	mid	High	Low	Mid	Mid	Mid	Mid	Mid	Mid
70	f	>23	forth	B	Central	highschool-art	yes	mid	mid	mid	mid	mid	High	Low	Mid	Mid	High	Low	Mid	Mid
71	m	>23	first	C+	NorthEast	highschool-art	yes	mid	mid	high	high	mid	High	Low	High	Low	Mid	Mid	Mid	Mid
72	m	23-28	completed	B	North	highschool-mathsci	yes	mid	mid	high	high	high	High	Low	Mid	Mid	High	Low	High	Low
73	LGBT	>23	third	C+	West	vocational	yes	high	mid	mid	high	high	Mid	Mid	Mid	Mid	Mid	Mid	Mid	Mid
74	m	>23	forth	B	West	vocational	no	mid	mid	high	high	high	High	Low	Mid	Mid	Low	High	Mid	Mid
75	m	23-28	completed	B	North	highschool-mathsci	yes	mid	mid	mid	high	mid	Mid	Mid	Mid	Mid	Mid	Mid	Mid	Mid
76	m	>23	second	B+	East	highschool-mathsci	yes	mid	mid	high	mid	high	High	Low	High	Low	Low	High	Mid	Mid
77	m	>23	third	C+	North	highschool-art	yes	mid	mid	mid	mid	mid	High	Low	Mid	Mid	Mid	Mid	Mid	Mid
78	LGBT	>23	first	B	Central	vocational	yes	mid	mid	high	high	high	Low	High	Mid	Mid	Mid	Mid	Mid	Mid
79	f	>23	third	C+	North	highschool-mathsci	yes	mid	high	high	mid	high	High	Low	Mid	Mid	High	Low	High	Low
80	f	>23	third	B	North	highschool-art	yes	mid	high	mid	high	low	High	Low	Mid	Mid	Mid	Mid	Mid	Mid
81	m	>23	first	C+	Central	vocational	yes	mid	mid	mid	high	high	High	Low	Mid	Mid	High	Low	Low	High
82	m	>23	third	B	Central	highschool-mathsci	yes	high	high	high	mid	high	High	Low	Mid	Mid	High	Low	High	Low
83	f	>23	second	B	North	highschool-art	yes	mid	mid	high	high	mid	Mid	Mid	Mid	Mid	Mid	Mid	Mid	Mid
84	f	>23	forth	B	North	highschool-art	yes	mid	high	mid	mid	high	High	Low	Mid	Mid	Mid	Mid	Mid	Mid
85	f	>23	second	B+	North	highschool-art	yes	high	mid	low	mid	high	High	Low	High	Low	Mid	Mid	Mid	Mid
86	f	>23	forth	B	North	highschool-art	yes	mid	mid	high	high	high	Mid	Mid	High	Low	Mid	Mid	Mid	Mid
87	f	>23	first	C+	Central	highschool-art	yes	high	high	low	mid	high	High	Low	Mid	Mid	Mid	Mid	Low	High
88	LGBT	>23	second	B	Central	highschool-art	yes	mid	mid	high	high	high	Mid	Mid	Low	High	Mid	Mid	Mid	Mid
89	f	23-28	completed	B	North	highschool-art	yes	mid	mid	low	low	mid	Mid	Mid	High	Low	Mid	Mid	Mid	Mid
90	f	>23	forth	C+	NorthEast	highschool-mathsci	yes	high	mid	mid	mid	high	Mid	Mid	Mid	Mid	High	Low	Mid	Mid
91	LGBT	>23	second	C+	NorthEast	highschool-mathsci	no	high	mid	mid	high	high	High	Low	Mid	Mid	High	Low	Mid	Mid
92	LGBT	>23	second	C+	North	vocational	yes	mid	mid	mid	high	high	Mid	Mid	Mid	Mid	Mid	Mid	Mid	Mid
93	m	>23	second	B	NorthEast	highschool-mathsci	yes	high	high	high	high	high	Mid	Mid	High	Low	Low	High	Low	High
94	m	23-28	completed	C+	NorthEast	highschool-mathsci	yes	mid	high	mid	mid	mid	Mid	Mid	Mid	Mid	Mid	Mid	Low	High
95	m	>23	forth	C+	NorthEast	highschool-mathsci	yes	mid	low	high	mid	high	Mid	Mid	High	Low	Mid	Mid	Mid	Mid
96	m	>23	second	B	NorthEast	highschool-mathsci	yes	mid	mid	high	low	high	High	Low	Low	High	Mid	Mid	High	Low
97	m	>23	second	C+	NorthEast	highschool-mathsci	yes	high	high	high	high	high	Mid	Mid	Mid	Mid	Low	High	High	Low
98	m	>23	second	C+	NorthEast	highschool-mathsci	no	high	high	high	mid	mid	Mid	Mid	High	Low	Mid	Mid	Mid	Mid
99	m	>23	second	B	NorthEast	highschool-art	yes	mid	high	high	mid	high	High	Low	High	Low	Mid	Mid	High	Low
100	LGBT	>23	second	B	NorthEast	highschool-art	yes	high	high	mid	high	mid	Mid	Mid	High	Low	Low	High	High	Low
101	f	29-34	completed	B	NorthEast	highschool-mathsci	yes	high	mid	mid	high	high	Mid	Mid	High	Low	Mid	Mid	Mid	Mid
102	f	>23	first	C+	NorthEast	highschool-mathsci	yes	high	high	high	mid	high	High	Low	Low	High	Mid	Mid	High	Low
