Gender	Age	major	year	gpax	Region	previous-edu	uni-activity	influ-major	influ-people	influ-wellknown	influ-quality	influ-careermarket	E	I	S	N	T	F	J	P
f	>23	Business and Law	first	B	NorthEast	highschool-mathsci	yes	mid	low	mid	mid	mid	High	Low	Mid	Mid	Mid	Mid	Low	High
m	>23	Sciences & Maths	first	C+	North	highvocational	yes	high	mid	mid	mid	high	High	Low	Mid	Mid	Mid	Mid	High	Low
f	>23	Education	second	B	North	highschool-art	yes	mid	mid	high	mid	mid	High	Low	High	Low	Mid	Mid	Mid	Mid
m	29-34	Engineer & Industrial	completed	B+	North	highvocational	yes	high	high	high	mid	mid	Mid	Mid	Mid	Mid	High	Low	Mid	Mid
m	23-28	ICTs	completed	B	North	vocational	yes	high	mid	high	high	mid	High	Low	Mid	Mid	Mid	Mid	Mid	Mid
m	>23	Engineer & Industrial	second	C+	North	highschool-mathsci	no	mid	high	mid	low	mid	Mid	Mid	Mid	Mid	High	Low	Mid	Mid
f	>23	Sciences & Maths	second	B+	Central	highschool-mathsci	yes	high	mid	mid	mid	high	High	Low	Mid	Mid	Mid	Mid	High	Low
m	29-34	Engineer & Industrial	completed	B	North	highschool-mathsci	yes	high	mid	high	high	high	Mid	Mid	Mid	Mid	Mid	Mid	High	Low
f	>23	Social sciences & Journal	third	B+	North	highschool-art	yes	high	low	mid	high	mid	Low	High	High	Low	Mid	Mid	High	Low
m	>23	Business and Law	third	B+	North	vocational	yes	high	mid	mid	high	high	Low	High	Mid	Mid	Mid	Mid	High	Low
f	35+	Engineer & Industrial	completed	B+	North	highschool-mathsci	yes	high	low	mid	mid	mid	High	Low	Mid	Mid	High	Low	Low	High
f	>23	Engineer & Industrial	first	C+	North	vocational	yes	mid	high	mid	mid	low	Mid	Mid	High	Low	Mid	Mid	Mid	Mid
f	29-34	Business and Law	completed	B	NorthEast	highschool-mathsci	yes	mid	high	high	mid	mid	Mid	Mid	Mid	Mid	Mid	Mid	Low	High
