sex,Age,major group3,year,gpax,Region,previous-edu,uni-activity,influ-major,influ-people,influ-wellknown,influ-quality,influ-careermarket,TYPE
f,>23,Business and Law,first,B,NorthEast,highschool-mathsci,yes,mid,low,mid,mid,mid,ESFP
m,>23,Sciences & Maths,first,C+,North,highvocational,yes,high,mid,mid,mid,high,ENFJ
f,>23,Education,second,B,North,highschool-art,yes,mid,mid,high,mid,mid,ESFJ
m,29-34,Engineer & Industrial,completed,B+,North,highvocational,yes,high,high,high,mid,mid,ENTJ
m,23-28,ICTs,completed,B,North,vocational,yes,high,mid,high,high,mid,ESFJ
m,>23,Engineer & Industrial,second,C+,North,highschool-mathsci,no,mid,high,mid,low,mid,INTJ
f,>23,Sciences & Maths,second,B+,Central,highschool-mathsci,yes,high,mid,mid,mid,high,ESFJ
m,29-34,Engineer & Industrial,completed,B,North,highschool-mathsci,yes,high,mid,high,high,high,ESTJ
f,>23,Social sciences & Journal,third,B+,North,highschool-art,yes,high,low,mid,high,mid,ISFJ
m,>23,Business and Law,third,B+,North,vocational,yes,high,mid,mid,high,high,ISFJ
f,35+,Engineer & Industrial,completed,B+,North,highschool-mathsci,yes,high,low,mid,mid,mid,ESTP
f,>23,Engineer & Industrial,first,C+,North,vocational,yes,mid,high,mid,mid,low,ESFP
f,29-34,Business and Law,completed,B,NorthEast,highschool-mathsci,yes,mid,high,high,mid,mid,INTP
m,>23,Engineer & Industrial,forth,B,Central,highschool-mathsci,yes,high,high,high,high,high,ESFJ
m,35+,Business and Law,completed,C+,NorthEast,highvocational,yes,mid,mid,mid,mid,mid,ESTP
m,29-34,ICTs,completed,C+,NorthEast,highschool-mathsci,yes,high,mid,high,mid,mid,ISTP
f,>23,Business and Law,second,B+,North,vocational,yes,high,low,mid,high,high,ESFJ
f,>23,Education,third,B+,North,vocational,yes,high,high,mid,mid,high,ESFP
f,>23,Business and Law,second,B,North,highschool-mathsci,yes,mid,mid,high,high,mid,ENFP
f,>23,Health ,second,B,North,vocational,no,mid,mid,mid,mid,mid,ENFP
f,>23,Health ,second,B,North,vocational,no,mid,mid,mid,mid,mid,ENFP
f,>23,Education,second,B+,North,vocational,no,mid,mid,mid,high,mid,ISFP
m,23-28,Sciences & Maths,third,B,North,highvocational,yes,high,mid,mid,high,mid,ESFJ
m,>23,Engineer & Industrial,second,B,North,highvocational,yes,high,mid,mid,high,mid,ESTJ
f,>23,Engineer & Industrial,first,C+,North,vocational,yes,high,mid,mid,high,mid,ESFJ
m,>23,Sciences & Maths,third,C+,North,vocational,yes,high,mid,mid,high,mid,ESFJ
f,23-28,Sciences & Maths,forth,B,North,highschool-mathsci,yes,high,mid,mid,high,mid,ESTJ
m,>23,Sciences & Maths,second,C+,Central,vocational,yes,high,low,high,mid,mid,ENTJ
f,>23,Sciences & Maths,second,B,East,highschool-mathsci,yes,high,high,high,mid,high,ESTJ
f,>23,Business and Law,third,C+,South,highvocational,yes,high,mid,mid,high,high,ESTJ
m,23-28,Business and Law,third,C+,North,highvocational,yes,high,high,high,high,mid,ESTJ
m,>23,Business and Law,first,C+,North,vocational,yes,high,high,mid,mid,high,ESTJ
f,23-28,ICTs,forth,B,North,vocational,yes,high,high,high,high,high,ESTJ
m,>23,Business and Law,third,B,Central,highvocational,yes,high,high,mid,mid,high,ESTJ
f,>23,Business and Law,third,B,Central,highvocational,yes,high,high,mid,mid,high,ESTJ
f,>23,Arts & Humanities,second,B,Central,highvocational,yes,high,high,high,mid,mid,ISTP
m,29-34,Education,completed,B+,East,highschool-art,yes,high,mid,mid,high,mid,ESFJ
f,23-28,Arts & Humanities,forth,B,North,highvocational,yes,high,mid,high,high,high,ESTJ
f,23-28,Health ,forth,B+,North,highschool-mathsci,yes,high,low,high,high,high,INFJ
m,>23,Social sciences & Journal,second,C+,West,vocational,yes,high,high,high,high,mid,ESTJ
f,35+,Engineer & Industrial,completed,B+,North,highschool-mathsci,yes,high,mid,high,high,high,ESFJ
m,>23,Business and Law,third,B,Central,vocational,yes,high,high,high,high,high,ESTJ
m,>23,Business and Law,third,B,NorthEast,vocational,yes,high,mid,high,high,high,ESTJ
m,23-28,Social sciences & Journal,forth,B+,NorthEast,highvocational,yes,high,mid,high,high,mid,ESTJ
f,>23,Sciences & Maths,first,B,Central,highschool-mathsci,yes,mid,mid,mid,mid,mid,ESTP
m,>23,Engineer & Industrial,first,C+,North,vocational,yes,mid,mid,mid,mid,mid,ENTJ
m,>23,Engineer & Industrial,forth,B,North,highschool-mathsci,yes,high,high,mid,high,high,ESFJ
m,>23,Engineer & Industrial,second,B,North,highschool-mathsci,yes,high,high,high,high,high,ESFJ
m,>23,Engineer & Industrial,second,C+,Central,highschool-mathsci,yes,high,high,mid,high,high,ENFJ
m,>23,Engineer & Industrial,second,B,Central,highschool-mathsci,yes,high,mid,high,mid,high,ESTJ
m,>23,Engineer & Industrial,second,C+,South,highschool-mathsci,yes,high,mid,mid,high,high,ESTP
m,>23,Engineer & Industrial,second,C+,North,highschool-mathsci,yes,high,high,mid,mid,high,ESTJ
f,>23,Business and Law,second,C,North,highschool-mathsci,no,high,mid,mid,high,high,ENFJ
f,23-28,Business and Law,third,B+,North,vocational,yes,high,mid,high,mid,high,ESTJ
m,29-34,Business and Law,completed,B,North,highvocational,yes,high,low,high,mid,high,ESTJ
m,23-28,Business and Law,completed,B+,Central,highvocational,yes,high,high,mid,high,mid,ENFJ
m,29-34,Education,completed,B+,NorthEast,highschool-mathsci,yes,high,mid,high,high,mid,ENFJ
f,>23,Business and Law,second,B,Central,vocational,yes,high,low,mid,mid,mid,INFJ
f,>23,Arts & Humanities,first,B,Central,highschool-art,yes,high,high,high,high,mid,ESFJ
f,35+,Business and Law,completed,B,NorthEast,vocational,yes,high,mid,high,high,high,ESTJ
m,>23,Arts & Humanities,second,B,North,vocational,yes,high,mid,high,high,high,INFJ
m,>23,Engineer & Industrial,third,B,Central,vocational,yes,high,low,high,high,high,ESTJ
m,29-34,Social sciences & Journal,completed,B,North,highschool-mathsci,yes,high,mid,high,high,mid,ESTJ
m,>23,Engineer & Industrial,first,C+,Central,highvocational,yes,mid,high,mid,high,mid,ESTJ
m,>23,Engineer & Industrial,forth,B,Central,highschool-mathsci,yes,high,mid,mid,high,high,ENTJ
f,>23,Engineer & Industrial,third,B,North,highschool-mathsci,yes,mid,high,mid,mid,high,ENFP
m,>23,Engineer & Industrial,first,B,Central,highschool-art,no,mid,mid,low,mid,high,ISFP
m,23-28,Sciences & Maths,completed,B,East,highschool-art,no,high,mid,mid,low,mid,ISFP
LGBT,>23,Health ,third,B+,North,highschool-mathsci,yes,high,high,mid,mid,high,ENTJ
m,>23,Engineer & Industrial,second,C+,North,vocational,yes,high,high,mid,mid,mid,ENFP
f,>23,Sciences & Maths,forth,B,Central,highschool-art,yes,mid,mid,mid,mid,mid,ESTP
m,>23,Arts & Humanities,first,C+,NorthEast,highschool-art,yes,mid,mid,high,high,mid,ESTJ
